ID,Exp_Type,Exp_Type,Test_Day,Preference,Win_Side,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Abnormal,Remark
0718-1C,fiberphotometry DA high,250831,0,0.45,R,R,L,L,L,L,R,R,L,R,L,L,R,R,L,R,L,R,L,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1C,fiberphotometry DA high,250901,1,0.233,R,L,L,R,L,L,R,L,L,L,L,R,L,L,L,L,L,L,L,L,R,L,L,L,L,R,R,R,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1C,fiberphotometry DA high,250902,2,0.333,R,L,R,L,L,L,R,L,R,L,L,R,L,R,L,L,R,L,R,L,R,L,L,L,L,R,L,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1C,fiberphotometry DA high,250903,3,0.3,R,L,L,L,L,R,L,L,R,L,L,R,L,L,R,L,L,R,L,R,L,L,L,L,R,L,R,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1C,fiberphotometry DA high,250904,4,0.4,R,L,L,R,R,L,L,R,L,R,L,L,R,L,R,L,R,L,R,L,R,L,R,L,R,L,R,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1D,fiberphotometry DA high,250831,0,0.4,R,R,L,L,L,L,R,L,R,L,L,L,R,L,R,L,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1D,fiberphotometry DA high,250901,1,0.367,R,L,L,R,L,R,R,L,R,L,L,R,L,R,L,L,R,R,R,L,L,R,L,L,R,L,L,R,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1D,fiberphotometry DA high,250902,2,0.4,R,L,R,L,R,R,L,L,R,L,R,R,R,L,L,L,R,L,L,R,L,R,R,L,L,R,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1D,fiberphotometry DA high,250903,3,0.367,R,L,R,L,L,L,R,L,R,L,R,L,R,L,L,L,L,L,R,R,L,L,L,R,L,R,L,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-1D,fiberphotometry DA high,250904,4,0.4,R,L,R,L,L,L,L,R,L,R,L,R,L,L,R,L,L,R,L,R,L,R,L,L,R,L,L,R,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2A,fiberphotometry DA high,250831,0,0.3,R,L,L,R,L,L,L,L,L,L,L,R,L,L,L,R,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2A,fiberphotometry DA high,250901,1,0.267,R,L,L,L,L,L,R,L,L,R,L,L,L,L,R,L,L,R,R,L,L,R,L,L,R,L,L,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2A,fiberphotometry DA high,250902,2,0.267,R,L,L,R,L,L,R,L,L,L,L,R,L,R,L,R,L,L,L,L,R,R,L,R,L,L,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2A,fiberphotometry DA high,250903,3,0.267,R,L,L,R,L,L,L,L,L,L,R,R,L,L,R,L,L,L,R,R,R,R,L,L,L,L,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2A,fiberphotometry DA high,250904,4,0.267,R,L,L,R,L,L,L,L,R,L,L,R,L,L,R,R,L,L,R,L,L,L,L,L,L,R,L,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2B,fiberphotometry DA high,250831,0,0.45,L,L,R,L,R,L,R,R,L,R,L,L,R,R,R,L,R,L,R,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2B,fiberphotometry DA high,250901,1,0.433,L,R,L,L,R,L,L,R,L,R,R,R,R,L,R,L,R,R,L,L,R,R,L,R,R,L,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2B,fiberphotometry DA high,250902,2,0.567,L,R,L,L,L,L,R,R,R,L,R,R,R,L,R,L,R,L,L,R,L,R,L,L,R,L,R,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2B,fiberphotometry DA high,250903,3,0.4,L,R,R,L,R,R,R,L,R,R,L,R,L,R,L,R,L,L,R,L,R,R,L,R,L,R,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-2B,fiberphotometry DA high,250904,4,0.567,L,L,L,R,L,L,R,L,R,R,L,R,R,L,L,L,R,L,L,R,L,R,L,R,R,L,L,R,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-5A,fiberphotometry DA high,250831,0,0.5,R,R,L,R,R,R,L,R,L,R,L,R,L,R,L,L,R,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-5A,fiberphotometry DA high,250901,1,0.367,R,L,L,L,R,L,R,L,R,L,L,L,R,L,L,L,R,R,L,L,R,L,L,L,R,R,L,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-5A,fiberphotometry DA high,250902,2,0.467,R,L,L,R,L,L,L,R,L,R,R,L,L,R,R,L,L,R,R,R,L,L,R,L,R,R,L,L,L,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-5A,fiberphotometry DA high,250903,3,0.5,R,L,R,L,R,R,L,R,L,R,R,L,R,R,R,L,L,L,R,R,L,R,L,L,R,R,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-5A,fiberphotometry DA high,250904,4,0.433,R,L,L,L,R,R,L,R,L,R,L,R,L,R,L,R,L,R,L,R,L,R,R,L,R,R,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7A,fiberphotometry DA high,250831,0,0.45,R,L,R,L,R,R,L,R,L,L,L,R,L,R,L,L,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7A,fiberphotometry DA high,250901,1,0.3,R,R,L,R,L,L,L,R,L,L,L,L,L,L,R,L,R,L,L,L,R,L,L,R,L,R,L,L,L,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7A,fiberphotometry DA high,250902,2,0.267,R,L,L,L,R,L,R,L,R,R,L,R,L,L,R,L,L,L,L,L,L,R,L,L,R,L,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7A,fiberphotometry DA high,250903,3,0.33,R,L,L,R,L,L,R,L,R,L,L,L,R,R,L,L,R,L,L,R,L,L,L,R,L,R,L,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7A,fiberphotometry DA high,250904,4,0.4,R,L,R,L,L,R,R,L,R,L,L,L,R,L,R,L,R,L,R,L,L,L,R,L,R,L,L,R,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7B,fiberphotometry DA high,250831,0,0.5,R,R,R,L,R,L,R,L,R,R,L,R,L,L,R,R,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7B,fiberphotometry DA high,250901,1,0.3,R,L,R,L,L,R,L,L,L,R,L,L,L,L,L,L,R,L,L,R,L,R,L,L,L,R,L,L,L,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7B,fiberphotometry DA high,250902,2,0.4,R,L,R,L,L,L,R,L,R,L,L,R,L,L,L,L,R,L,R,R,R,R,R,L,L,R,L,R,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7B,fiberphotometry DA high,250903,3,0.367,R,R,L,R,L,R,L,L,L,L,R,L,L,L,R,L,R,L,L,R,R,L,R,L,R,L,L,L,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0718-7B,fiberphotometry DA high,250904,4,0.33,R,L,L,R,L,L,R,R,L,L,R,L,L,R,R,L,L,R,L,L,R,L,L,R,L,L,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
